river,year,month,water_fraction,water_pixels,total_pixels
Nyakagunda,1984,1,,0,0
Nyakagunda,1984,2,,0,0
Nyakagunda,1984,3,,0,0
Nyakagunda,1984,4,,0,0
Nyakagunda,1984,5,0.0,0,13842
Nyakagunda,1984,6,,0,0
Nyakagunda,1984,7,,0,0
Nyakagunda,1984,8,,0,0
Nyakagunda,1984,9,,0,0
Nyakagunda,1984,10,0.0,0,178
Nyakagunda,1984,11,,0,0
Nyakagunda,1984,12,0.0,0,13799
Nyakagunda,1985,1,,0,0
Nyakagunda,1985,2,,0,0
Nyakagunda,1985,3,,0,0
Nyakagunda,1985,4,,0,0
Nyakagunda,1985,5,,0,0
Nyakagunda,1985,6,,0,0
Nyakagunda,1985,7,,0,0
Nyakagunda,1985,8,,0,0
Nyakagunda,1985,9,,0,0
Nyakagunda,1985,10,,0,0
Nyakagunda,1985,11,,0,0
Nyakagunda,1985,12,,0,0
Nyakagunda,1986,1,,0,0
Nyakagunda,1986,2,,0,0
Nyakagunda,1986,3,,0,0
Nyakagunda,1986,4,,0,0
Nyakagunda,1986,5,,0,0
Nyakagunda,1986,6,,0,0
Nyakagunda,1986,7,0.0,0,13830
Nyakagunda,1986,8,0.0,0,13828
Nyakagunda,1986,9,,0,0
Nyakagunda,1986,10,,0,0
Nyakagunda,1986,11,0.0,0,13656
Nyakagunda,1986,12,0.0,0,3896
Nyakagunda,1987,1,0.0,0,13842
Nyakagunda,1987,2,0.0,0,13784
Nyakagunda,1987,3,0.0,0,458
Nyakagunda,1987,4,0.0,0,13842
Nyakagunda,1987,5,0.0,0,13842
Nyakagunda,1987,6,,0,0
Nyakagunda,1987,7,,0,0
Nyakagunda,1987,8,,0,0
Nyakagunda,1987,9,0.0,0,4448
Nyakagunda,1987,10,,0,0
Nyakagunda,1987,11,,0,0
Nyakagunda,1987,12,,0,0
Nyakagunda,1988,1,,0,0
Nyakagunda,1988,2,,0,0
Nyakagunda,1988,3,,0,0
Nyakagunda,1988,4,,0,0
Nyakagunda,1988,5,,0,0
Nyakagunda,1988,6,,0,0
Nyakagunda,1988,7,,0,0
Nyakagunda,1988,8,,0,0
Nyakagunda,1988,9,,0,0
Nyakagunda,1988,10,,0,0
Nyakagunda,1988,11,,0,0
Nyakagunda,1988,12,,0,0
Nyakagunda,1989,1,,0,0
Nyakagunda,1989,2,,0,0
Nyakagunda,1989,3,,0,0
Nyakagunda,1989,4,,0,0
Nyakagunda,1989,5,,0,0
Nyakagunda,1989,6,,0,0
Nyakagunda,1989,7,,0,0
Nyakagunda,1989,8,,0,0
Nyakagunda,1989,9,,0,0
Nyakagunda,1989,10,,0,0
Nyakagunda,1989,11,,0,0
Nyakagunda,1989,12,,0,0
Nyakagunda,1990,1,,0,0
Nyakagunda,1990,2,,0,0
Nyakagunda,1990,3,,0,0
Nyakagunda,1990,4,,0,0
Nyakagunda,1990,5,,0,0
Nyakagunda,1990,6,,0,0
Nyakagunda,1990,7,0.0,0,13811
Nyakagunda,1990,8,,0,0
Nyakagunda,1990,9,,0,0
Nyakagunda,1990,10,,0,0
Nyakagunda,1990,11,,0,0
Nyakagunda,1990,12,,0,0
Nyakagunda,1991,1,,0,0
Nyakagunda,1991,2,,0,0
Nyakagunda,1991,3,,0,0
Nyakagunda,1991,4,,0,0
Nyakagunda,1991,5,,0,0
Nyakagunda,1991,6,,0,0
Nyakagunda,1991,7,0.0,0,5946
Nyakagunda,1991,8,,0,0
Nyakagunda,1991,9,,0,0
Nyakagunda,1991,10,,0,0
Nyakagunda,1991,11,,0,0
Nyakagunda,1991,12,,0,0
Nyakagunda,1992,1,,0,0
Nyakagunda,1992,2,,0,0
Nyakagunda,1992,3,,0,0
Nyakagunda,1992,4,,0,0
Nyakagunda,1992,5,,0,0
Nyakagunda,1992,6,,0,0
Nyakagunda,1992,7,,0,0
Nyakagunda,1992,8,,0,0
Nyakagunda,1992,9,,0,0
Nyakagunda,1992,10,,0,0
Nyakagunda,1992,11,,0,0
Nyakagunda,1992,12,,0,0
Nyakagunda,1993,1,,0,0
Nyakagunda,1993,2,,0,0
Nyakagunda,1993,3,,0,0
Nyakagunda,1993,4,,0,0
Nyakagunda,1993,5,,0,0
Nyakagunda,1993,6,,0,0
Nyakagunda,1993,7,,0,0
Nyakagunda,1993,8,,0,0
Nyakagunda,1993,9,,0,0
Nyakagunda,1993,10,,0,0
Nyakagunda,1993,11,,0,0
Nyakagunda,1993,12,,0,0
Nyakagunda,1994,1,,0,0
Nyakagunda,1994,2,,0,0
Nyakagunda,1994,3,,0,0
Nyakagunda,1994,4,,0,0
Nyakagunda,1994,5,0.0,0,13090
Nyakagunda,1994,6,0.0,0,12859
Nyakagunda,1994,7,0.0,0,13808
Nyakagunda,1994,8,0.0,0,13818
Nyakagunda,1994,9,,0,0
Nyakagunda,1994,10,0.0,0,10411
Nyakagunda,1994,11,0.0,0,2530
Nyakagunda,1994,12,0.0,0,3298
Nyakagunda,1995,1,0.0,0,13842
Nyakagunda,1995,2,0.0,0,13842
Nyakagunda,1995,3,0.0,0,8
Nyakagunda,1995,4,,0,0
Nyakagunda,1995,5,,0,0
Nyakagunda,1995,6,,0,0
Nyakagunda,1995,7,,0,0
Nyakagunda,1995,8,,0,0
Nyakagunda,1995,9,,0,0
Nyakagunda,1995,10,,0,0
Nyakagunda,1995,11,,0,0
Nyakagunda,1995,12,,0,0
Nyakagunda,1996,1,,0,0
Nyakagunda,1996,2,0.0,0,13808
Nyakagunda,1996,3,,0,0
Nyakagunda,1996,4,,0,0
Nyakagunda,1996,5,,0,0
Nyakagunda,1996,6,,0,0
Nyakagunda,1996,7,,0,0
Nyakagunda,1996,8,,0,0
Nyakagunda,1996,9,,0,0
Nyakagunda,1996,10,,0,0
Nyakagunda,1996,11,,0,0
Nyakagunda,1996,12,,0,0
Nyakagunda,1997,1,,0,0
Nyakagunda,1997,2,,0,0
Nyakagunda,1997,3,,0,0
Nyakagunda,1997,4,,0,0
Nyakagunda,1997,5,0.0,0,38
