river,year,month,water_fraction,water_pixels,total_pixels
Mutimbuzi,1984,1,,0,0
Mutimbuzi,1984,2,,0,0
Mutimbuzi,1984,3,,0,0
Mutimbuzi,1984,4,,0,0
Mutimbuzi,1984,5,7.2e-05,1,13849
Mutimbuzi,1984,6,,0,0
Mutimbuzi,1984,7,,0,0
Mutimbuzi,1984,8,,0,0
Mutimbuzi,1984,9,,0,0
Mutimbuzi,1984,10,0.0,0,141
Mutimbuzi,1984,11,,0,0
Mutimbuzi,1984,12,0.0,0,13807
Mutimbuzi,1985,1,,0,0
Mutimbuzi,1985,2,,0,0
Mutimbuzi,1985,3,,0,0
Mutimbuzi,1985,4,,0,0
Mutimbuzi,1985,5,,0,0
Mutimbuzi,1985,6,,0,0
Mutimbuzi,1985,7,,0,0
Mutimbuzi,1985,8,,0,0
Mutimbuzi,1985,9,,0,0
Mutimbuzi,1985,10,,0,0
Mutimbuzi,1985,11,,0,0
Mutimbuzi,1985,12,,0,0
Mutimbuzi,1986,1,,0,0
Mutimbuzi,1986,2,,0,0
Mutimbuzi,1986,3,,0,0
Mutimbuzi,1986,4,,0,0
Mutimbuzi,1986,5,,0,0
Mutimbuzi,1986,6,0.0,0,12604
Mutimbuzi,1986,7,0.0,0,13842
Mutimbuzi,1986,8,0.0,0,13799
Mutimbuzi,1986,9,,0,0
Mutimbuzi,1986,10,,0,0
Mutimbuzi,1986,11,0.0,0,11464
Mutimbuzi,1986,12,,0,0
Mutimbuzi,1987,1,0.0,0,13836
Mutimbuzi,1987,2,0.0,0,13801
Mutimbuzi,1987,3,,0,0
Mutimbuzi,1987,4,0.0,0,13811
Mutimbuzi,1987,5,0.0,0,13827
Mutimbuzi,1987,6,,0,0
Mutimbuzi,1987,7,,0,0
Mutimbuzi,1987,8,,0,0
Mutimbuzi,1987,9,0.0,0,11842
Mutimbuzi,1987,10,,0,0
Mutimbuzi,1987,11,,0,0
Mutimbuzi,1987,12,,0,0
Mutimbuzi,1988,1,,0,0
Mutimbuzi,1988,2,,0,0
Mutimbuzi,1988,3,,0,0
Mutimbuzi,1988,4,,0,0
Mutimbuzi,1988,5,,0,0
Mutimbuzi,1988,6,,0,0
Mutimbuzi,1988,7,,0,0
Mutimbuzi,1988,8,,0,0
Mutimbuzi,1988,9,,0,0
Mutimbuzi,1988,10,,0,0
Mutimbuzi,1988,11,,0,0
Mutimbuzi,1988,12,,0,0
Mutimbuzi,1989,1,,0,0
Mutimbuzi,1989,2,,0,0
Mutimbuzi,1989,3,,0,0
Mutimbuzi,1989,4,,0,0
Mutimbuzi,1989,5,,0,0
Mutimbuzi,1989,6,,0,0
Mutimbuzi,1989,7,,0,0
Mutimbuzi,1989,8,,0,0
Mutimbuzi,1989,9,,0,0
Mutimbuzi,1989,10,,0,0
Mutimbuzi,1989,11,,0,0
Mutimbuzi,1989,12,,0,0
Mutimbuzi,1990,1,,0,0
Mutimbuzi,1990,2,,0,0
Mutimbuzi,1990,3,,0,0
Mutimbuzi,1990,4,,0,0
Mutimbuzi,1990,5,,0,0
Mutimbuzi,1990,6,,0,0
Mutimbuzi,1990,7,0.0,0,13740
Mutimbuzi,1990,8,,0,0
Mutimbuzi,1990,9,,0,0
Mutimbuzi,1990,10,,0,0
Mutimbuzi,1990,11,,0,0
Mutimbuzi,1990,12,,0,0
Mutimbuzi,1991,1,,0,0
Mutimbuzi,1991,2,,0,0
Mutimbuzi,1991,3,,0,0
Mutimbuzi,1991,4,,0,0
Mutimbuzi,1991,5,,0,0
Mutimbuzi,1991,6,,0,0
Mutimbuzi,1991,7,0.0,0,6562
Mutimbuzi,1991,8,,0,0
Mutimbuzi,1991,9,,0,0
Mutimbuzi,1991,10,,0,0
Mutimbuzi,1991,11,,0,0
Mutimbuzi,1991,12,,0,0
Mutimbuzi,1992,1,,0,0
Mutimbuzi,1992,2,,0,0
Mutimbuzi,1992,3,,0,0
Mutimbuzi,1992,4,,0,0
Mutimbuzi,1992,5,,0,0
Mutimbuzi,1992,6,,0,0
Mutimbuzi,1992,7,,0,0
Mutimbuzi,1992,8,,0,0
Mutimbuzi,1992,9,,0,0
Mutimbuzi,1992,10,,0,0
Mutimbuzi,1992,11,,0,0
Mutimbuzi,1992,12,,0,0
Mutimbuzi,1993,1,,0,0
Mutimbuzi,1993,2,,0,0
Mutimbuzi,1993,3,,0,0
Mutimbuzi,1993,4,,0,0
Mutimbuzi,1993,5,,0,0
